SIKKIM,EAST,2001,13,7,5,7,0,7,4,1,3,0,0,2,59,50,4,46,1,1,10,0,1,21,0,0,8,0,0,3,87,279
SIKKIM,NORTH,2001,1,0,0,0,0,0,0,0,0,0,0,0,2,3,0,3,0,0,3,0,0,4,0,0,0,0,0,1,22,36
SIKKIM,SOUTH,2001,4,3,2,1,0,1,1,0,1,0,0,0,9,9,0,9,0,0,0,0,0,4,0,0,4,0,0,1,41,79
SIKKIM,WEST,2001,1,1,0,0,0,0,1,1,0,0,0,1,6,12,2,10,2,0,0,0,0,6,0,0,2,0,0,2,16,50
SIKKIM,TOTAL,2001,19,11,7,8,0,8,6,2,4,0,0,3,76,74,6,68,3,1,13,0,1,35,0,0,14,0,0,7,166,444
HIMACHAL PRADESH,BADDIPOLICEDIST,2011,6,5,0,8,0,8,17,15,2,0,0,0,56,66,36,30,26,29,16,0,1,155,0,7,0,9,0,46,132,579
HIMACHAL PRADESH,BILASPUR,2011,8,2,0,8,0,8,3,3,0,0,0,0,43,56,27,29,43,9,34,0,14,56,0,18,9,17,0,36,721,1077
HIMACHAL PRADESH,CHAMBA,2011,15,2,1,6,0,6,19,18,1,0,0,1,93,29,3,26,27,8,11,0,7,88,2,29,3,10,0,48,279,678
HIMACHAL PRADESH,CID,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
HIMACHAL PRADESH,G.R.P.,2011,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,7,0,0,0,0,0,1,0,0,0,0,0,0,15,24
HIMACHAL PRADESH,HAMIRPUR,2011,3,5,0,5,0,5,8,7,1,0,0,0,29,35,13,22,21,6,16,0,5,182,0,17,12,5,0,27,417,793
HIMACHAL PRADESH,KANGRA,2011,21,7,2,32,0,32,68,55,13,0,0,4,219,171,46,125,85,12,80,3,20,186,1,60,12,42,0,7,1677,2709
HIMACHAL PRADESH,KINNAUR,2011,2,1,0,6,0,6,1,1,0,0,0,0,18,14,1,13,10,2,1,0,0,9,1,4,0,1,0,28,64,162
HIMACHAL PRADESH,KULLU,2011,13,2,0,20,0,20,13,12,1,0,0,0,68,67,15,52,23,10,26,0,3,39,0,38,2,21,0,36,553,934
HIMACHAL PRADESH,LAHAUL-SPITI,2011,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,5,92,102
HIMACHAL PRADESH,MANDI,2011,13,5,0,26,0,26,17,16,1,0,0,0,100,92,22,70,81,5,46,0,18,95,0,55,12,40,0,53,982,1640
HIMACHAL PRADESH,SHIMLA,2011,20,10,2,22,0,22,24,24,0,0,0,2,171,250,75,175,83,25,49,0,24,47,0,45,5,16,0,103,1968,2866
HIMACHAL PRADESH,SIRMAUR,2011,9,4,0,12,0,12,17,17,0,0,0,1,61,71,38,33,64,7,15,0,1,41,0,33,1,23,0,60,446,866
HIMACHAL PRADESH,SOLAN,2011,14,3,0,11,0,11,13,13,0,1,0,1,89,115,53,62,35,20,24,0,7,262,0,8,0,16,0,43,297,959
HIMACHAL PRADESH,UNA,2011,6,4,1,11,0,11,12,10,2,0,0,1,46,68,27,41,32,10,41,1,9,89,0,17,6,39,0,71,457,921
HIMACHAL PRADESH,TOTAL,2011,130,50,6,168,0,168,212,191,21,1,0,10,995,1042,356,686,530,143,359,4,110,1251,4,331,62,239,0,563,8102,14312
NAGALAND,DIMAPUR,2011,15,10,0,9,0,9,24,1,23,4,0,46,26,170,6,164,0,9,16,4,1,14,0,7,0,1,0,7,136,499
