STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES
BIHAR,JEHANABAD,2011,51,10,7,10,0,10,31,14,17,1,0,19,60,181,58,123,135,10,30,9,4,79,20,8,0,22,0,58,913,1658
BIHAR,KATIHAR,2011,83,82,3,103,0,103,126,102,24,17,1,29,53,292,46,246,238,60,95,5,7,1157,29,10,0,25,1,111,1126,3653
BIHAR,KATIHAR RLY.,2011,17,1,0,2,0,2,8,0,8,0,0,7,9,191,3,188,7,1,4,1,0,39,0,4,0,2,0,5,92,390
BIHAR,KHAGARIA,2011,55,45,0,14,0,14,53,42,11,6,9,16,15,105,5,100,204,10,20,1,15,429,15,0,0,26,0,93,768,1899
BIHAR,KISHANGANJ,2011,34,5,0,30,0,30,63,60,3,11,0,10,43,179,40,139,122,32,5,0,0,194,13,20,0,50,0,47,367,1225
BIHAR,LAKHISARAI,2011,40,8,1,5,0,5,51,31,20,6,0,19,30,126,31,95,100,15,47,1,9,180,14,12,0,44,0,66,469,1243
BIHAR,MADHEPURA,2011,44,12,1,8,0,8,78,67,11,6,1,30,24,163,38,125,231,41,62,0,7,299,11,0,0,21,0,56,715,1810
BIHAR,MADHUBANI,2011,81,8,0,44,0,44,182,148,34,18,0,35,109,392,125,267,388,0,37,2,0,940,35,0,0,138,0,93,2158,4660
BIHAR,MOTIHARI,2011,136,741,38,37,0,37,209,179,30,13,0,58,174,580,191,389,641,89,135,10,33,1055,69,8,0,57,0,56,3350,7489
BIHAR,MUNGER,2011,68,49,5,7,0,7,72,56,16,12,2,44,51,220,43,177,159,2,78,0,7,731,10,2,0,49,0,45,368,1981
BIHAR,MUZAFFARPUR,2011,154,24,14,56,0,56,255,219,36,30,6,86,204,1134,373,761,445,52,226,0,36,247,76,4,0,91,2,347,3338,6827
BIHAR,MUZAFFARPUR RLY.,2011,11,2,1,0,0,0,6,4,2,8,0,6,6,267,36,231,10,2,10,0,0,7,1,11,0,0,0,9,167,524
BIHAR,NALANDA,2011,84,61,24,15,0,15,81,72,9,2,1,27,93,247,104,143,163,48,140,0,10,1116,55,29,0,96,0,236,1999,4527
BIHAR,NAUGACHIA,2011,44,20,36,7,0,7,38,20,18,5,2,9,18,49,1,48,118,41,60,0,7,223,8,6,0,44,0,122,621,1478
BIHAR,NAWADAH,2011,74,29,5,12,0,12,63,33,30,16,8,21,45,180,49,131,197,26,79,2,5,176,21,35,0,57,0,114,1358,2523
BIHAR,PATNA,2011,248,25,4,41,0,41,364,167,197,52,10,161,545,2879,1321,1558,534,21,686,20,3,1036,112,1,2,317,0,511,6140,13712
BIHAR,PATNA RLY.,2011,16,10,2,1,0,1,6,0,6,7,5,17,6,770,76,694,20,0,13,0,0,0,2,11,0,0,0,0,257,1143
BIHAR,PURNEA,2011,86,48,7,62,0,62,131,78,53,9,2,22,57,186,46,140,178,62,230,0,51,275,13,24,3,140,0,140,1606,3332
BIHAR,ROHTAS,2011,126,95,4,20,0,20,106,84,22,23,7,45,184,607,215,392,249,29,85,0,59,1521,32,46,0,57,0,375,533,4203
BIHAR,SAHARSA,2011,34,109,5,8,0,8,63,41,22,5,2,36,57,125,28,97,288,41,73,0,15,216,17,35,0,27,1,57,806,2020
BIHAR,SAMASTIPUR,2011,107,221,11,40,0,40,166,105,61,14,3,54,89,338,110,228,336,45,91,4,37,308,46,9,2,66,0,175,2054,4216
BIHAR,SARAN,2011,123,408,27,10,0,10,146,137,9,10,0,43,115,524,168,356,428,61,76,0,28,646,74,46,0,131,1,200,2103,5200
BIHAR,SHEIKHPURA,2011,33,8,0,3,0,3,22,14,8,3,0,5,20,95,22,73,47,22,44,0,5,188,8,0,0,35,0,67,426,1031
BIHAR,SHEOHAR,2011,13,23,1,4,0,4,25,20,5,25,0,8,15,45,8,37,55,14,9,0,5,324,5,3,1,15,0,11,13,614
BIHAR,SITAMARHI,2011,71,33,4,8,0,8,58,49,9,18,2,39,116,458,237,221,229,6,20,0,20,44,29,14,0,33,0,94,2328,3624
BIHAR,SIWAN,2011,85,180,0,16,0,16,196,150,46,13,1,16,87,309,89,220,295,31,55,0,15,175,139,4,3,53,5,220,1510,3408
BIHAR,SUPAUL,2011,49,12,4,23,0,23,78,48,30,5,1,13,34,233,44,189,253,76,38,0,10,313,24,8,0,28,0,53,788,2043
BIHAR,VAISHALI,2011,110,77,15,18,0,18,233,147,86,16,7,69,148,688,345,343,352,113,76,1,24,276,76,26,0,59,0,213,2064,4661
BIHAR,TOTAL,2011,3198,3327,348,934,1,933,4268,3050,1218,556,105,1381,3629,16292,5041,11251,9768,1741,3776,64,705,19391,1413,790,11,2607,10,5877,55705,135896
MADHYA PRADESH,ALIRAJPUR,2011,76,39,0,24,0,24,19,18,1,1,0,5,25,59,24,35,10,1,4,0,11,278,0,23,0,8,0,74,605,1262
MADHYA PRADESH,ANUPPUR,2011,39,23,1,60,0,60,7,7,0,3,0,16,80,86,37,49,23,3,16,0,3,174,10,57,4,42,0,84,704,1435
MADHYA PRADESH,ASHOK NAGAR,2011,26,21,2,36,0,36,7,5,2,0,2,18,77,113,56,57,27,1,7,0,6,976,8,105,8,33,0,64,1076,2613
MADHYA PRADESH,BALAGHAT,2011,51,21,4,55,0,55,7,7,0,0,0,12,89,90,35,55,27,9,23,1,13,337,3,104,7,37,0,93,1464,2447
MADHYA PRADESH,BARWANI,2011,51,19,0,39,0,39,8,7,1,0,0,8,72,143,61,82,25,4,8,1,8,233,2,58,5,11,0,172,1047,1914
MADHYA PRADESH,BETUL,2011,54,29,1,120,0,120,19,18,1,1,1,18,94,194,56,138,7,2,30,1,10,295,20,188,6,53,0,175,1960,3278
MADHYA PRADESH,BHIND,2011,73,92,4,51,0,51,22,18,4,4,1,78,121,226,146,80,55,9,30,0,17,1229,28,71,11,45,0,144,1384,3695
MADHYA PRADESH,BHOPAL,2011,91,112,8,146,0,146,40,32,8,4,4,161,1031,2651,1795,856,108,19,111,0,19,812,19,144,16,198,2,436,8991,15123
MADHYA PRADESH,BHOPAL RLY.,2011,6,3,1,0,0,0,0,0,0,1,0,27,1,1154,22,1132,5,5,2,0,0,0,0,8,2,0,0,2,231,1448
MADHYA PRADESH,BURHANPUR,2011,18,5,0,29,0,29,2,2,0,1,0,10,30,86,30,56,7,0,18,0,2,58,5,41,5,13,0,58,747,1135
MADHYA PRADESH,CHHATARPUR,2011,58,78,5,77,0,77,44,42,2,2,2,74,306,277,132,145,96,8,52,0,16,598,33,185,8,75,0,133,3006,5133
MADHYA PRADESH,CHHINDWARA,2011,71,26,2,111,0,111,24,22,2,1,2,12,208,272,113,159,70,7,42,0,19,1352,14,189,41,89,0,220,2408,5180
MADHYA PRADESH,DAMOH,2011,45,56,0,52,0,52,21,14,7,0,1,22,155,142,78,64,21,4,20,0,20,1567,27,193,0,139,0,75,1089,3649
MADHYA PRADESH,DATIYA,2011,53,43,0,25,0,25,19,19,0,0,2,39,92,155,58,97,29,2,26,0,11,285,10,65,0,37,0,90,1631,2614
MADHYA PRADESH,DEWAS,2011,43,69,0,102,0,102,26,21,5,3,2,26,219,664,325,339,48,9,34,0,33,380,19,162,30,110,0,201,3254,5434
MADHYA PRADESH,DHAR,2011,81,63,3,103,0,103,43,41,2,4,4,25,167,510,276,234,37,59,27,0,27,595,62,189,13,74,0,331,3130,5547
MADHYA PRADESH,DINDORI,2011,22,4,5,46,0,46,6,4,2,0,0,2,26,30,13,17,9,1,12,0,0,86,1,67,5,21,0,65,630,1038
MADHYA PRADESH,GUNA,2011,45,43,2,75,0,75,26,24,2,5,3,22,152,305,161,144,67,12,25,0,15,698,9,122,14,30,1,169,1868,3708
MADHYA PRADESH,GWALIOR,2011,107,148,30,75,0,75,90,81,9,13,11,202,919,2120,1596,524,131,38,154,2,28,1138,34,170,14,168,0,274,5149,11015
MADHYA PRADESH,HARDA,2011,25,16,0,53,0,53,15,15,0,1,0,7,55,99,49,50,16,4,11,0,3,251,5,59,9,14,0,50,613,1306
MADHYA PRADESH,HOSHANGABAD,2011,59,50,5,59,0,59,28,26,2,4,1,66,211,261,162,99,26,12,40,0,25,306,16,149,17,120,0,139,2484,4078
MADHYA PRADESH,INDORE,2011,135,137,4,129,0,129,66,52,14,3,11,219,993,3634,2456,1178,116,45,231,3,41,2629,41,339,59,398,3,449,8884,18569
MADHYA PRADESH,INDORE RLY.,2011,4,1,3,2,0,2,1,1,0,0,0,6,2,260,0,260,1,0,0,0,0,3,1,4,0,0,0,0,58,346
MADHYA PRADESH,JABALPUR,2011,93,129,4,107,0,107,39,27,12,1,10,68,460,763,471,292,89,13,129,0,20,3171,39,269,40,212,2,160,4475,10293
MADHYA PRADESH,JABALPUR RLY.,2011,4,2,0,3,0,3,2,2,0,1,3,26,5,445,8,437,4,0,0,1,0,5,1,3,0,0,0,1,109,615
MADHYA PRADESH,JHABUA,2011,24,8,0,42,0,42,35,17,18,3,2,27,84,80,63,17,21,8,11,0,21,230,4,62,0,10,0,77,1279,2028
MADHYA PRADESH,KATNI,2011,41,26,4,62,0,62,8,7,1,1,2,7,157,139,66,73,19,8,33,0,8,920,16,140,12,51,0,120,1454,3228
MADHYA PRADESH,KHANDWA,2011,38,28,0,59,0,59,13,10,3,1,0,20,176,231,111,120,17,2,15,1,15,92,5,141,19,24,0,113,1904,2914
MADHYA PRADESH,KHARGON,2011,37,26,6,39,0,39,13,13,0,1,4,23,124,381,163,218,30,8,23,0,10,54,38,118,14,38,0,317,2570,3874
MADHYA PRADESH,MANDLA,2011,36,14,2,63,0,63,9,9,0,0,0,8,66,63,15,48,4,2,27,0,7,308,4,101,12,27,0,66,1391,2210
MADHYA PRADESH,MANDSAUR,2011,37,52,0,49,0,49,26,18,8,4,1,38,163,314,143,171,20,39,46,0,11,203,4,100,6,58,10,152,2209,3542
MADHYA PRADESH,MORENA,2011,56,100,3,40,0,40,28,23,5,23,6,48,178,419,170,249,103,2,43,0,17,1905,32,85,4,85,0,181,1802,5160
MADHYA PRADESH,NARSINGHPUR,2011,45,34,0,65,0,65,18,15,3,1,1,15,134,136,65,71,33,3,27,0,17,1252,20,108,25,69,0,144,802,2949
MADHYA PRADESH,NEEMUCH,2011,20,13,0,25,0,25,17,9,8,0,1,27,139,208,105,103,33,52,23,0,11,210,4,49,4,51,9,66,1129,2091
MADHYA PRADESH,PANNA,2011,33,18,2,48,0,48,10,5,5,0,2,19,132,76,21,55,9,0,16,0,6,267,14,87,5,48,0,70,1415,2277
MADHYA PRADESH,RAISEN,2011,47,70,3,118,0,118,36,22,14,0,3,19,137,265,118,147,41,6,19,0,17,321,15,179,16,67,0,153,2640,4172
MADHYA PRADESH,RAJGARH,2011,43,34,0,90,0,90,26,21,5,2,0,25,165,338,148,190,87,5,11,0,55,402,6,175,39,51,0,126,2929,4609
MADHYA PRADESH,RATLAM,2011,35,49,1,97,0,97,48,39,9,1,6,42,141,333,137,196,56,27,31,0,19,485,9,131,18,135,0,160,2005,3829
MADHYA PRADESH,REWA,2011,46,41,6,91,0,91,26,25,1,2,4,57,401,408,190,218,0,12,64,0,15,1003,32,122,107,112,8,183,2267,5007
MADHYA PRADESH,SAGAR,2011,94,96,1,131,0,131,106,104,2,2,2,55,381,491,200,291,87,8,71,0,26,2526,37,416,29,156,0,257,4006,8978
MADHYA PRADESH,SATNA,2011,66,35,4,83,0,83,20,13,7,1,2,44,300,484,280,204,29,13,26,0,22,979,20,177,7,109,0,328,2696,5445
MADHYA PRADESH,SEONI,2011,31,23,5,61,0,61,12,11,1,0,2,9,99,147,59,88,25,4,28,0,6,302,9,111,13,27,0,111,1687,2712
MADHYA PRADESH,SHAHDOL,2011,45,21,0,80,0,80,22,17,5,1,1,17,154,199,58,141,20,14,24,0,6,246,21,143,9,108,0,0,2073,3204
MADHYA PRADESH,SHAJAPUR,2011,49,36,0,50,0,50,13,10,3,1,1,26,135,390,174,216,28,19,17,0,15,1435,8,135,17,7,0,130,611,3123
MADHYA PRADESH,SHEOPUR,2011,14,11,0,18,0,18,11,7,4,2,0,8,31,55,14,41,27,5,13,0,3,736,2,28,2,9,0,37,264,1276
MADHYA PRADESH,SHIVPURI,2011,55,53,3,93,0,93,27,18,9,7,10,45,149,254,88,166,52,5,35,1,16,1133,13,168,5,65,0,228,2494,4911
MADHYA PRADESH,SIDHI,2011,29,9,0,32,0,32,32,31,1,0,0,9,137,131,29,102,8,3,21,0,10,321,16,93,1,45,0,89,1550,2536
MADHYA PRADESH,SIHORE,2011,44,58,1,82,0,82,26,26,0,3,1,29,175,346,156,190,46,9,35,0,27,418,11,119,14,76,0,183,2612,4315
MADHYA PRADESH,SINGRAULI,2011,43,13,7,43,0,43,25,24,1,3,0,9,82,99,27,72,30,5,11,0,7,347,13,89,1,59,0,143,1094,2123
MADHYA PRADESH,TIKAMGARH,2011,37,27,7,76,0,76,23,23,0,4,3,45,131,142,50,92,52,4,16,0,8,948,18,153,4,36,10,100,1396,3240
MADHYA PRADESH,UJJAIN,2011,68,149,0,81,0,81,43,35,8,2,1,72,350,1144,621,523,92,19,71,1,37,397,14,196,36,176,0,172,5290,8411
MADHYA PRADESH,UMARIYA,2011,21,11,0,22,0,22,4,4,0,0,0,9,73,61,20,41,8,0,19,0,5,110,3,78,10,27,0,0,943,1404
MADHYA PRADESH,VIDISHA,2011,47,56,0,87,0,87,30,27,3,0,2,31,246,341,144,197,49,8,32,0,20,705,16,197,19,79,0,113,2573,4651
MADHYA PRADESH,TOTAL,2011,2511,2340,139,3406,0,3406,1288,1088,200,118,117,1952,10230,22414,11595,10819,2080,557,1860,12,784,35711,811,6665,762,3732,45,7478,112082,217094
MAHARASHTRA,MUMBAI COMMR.,2011,203,180,4,221,0,221,221,166,55,28,46,467,2745,12983,4702,8281,379,553,1946,81,46,4302,14,553,162,393,0,656,6464,32647
MAHARASHTRA,MUMBAI RLY.,2011,12,2,1,3,0,3,9,6,3,2,0,63,3,2134,0,2134,6,6,50,1,0,56,0,8,3,0,0,1,111,2471
UTTAR PRADESH,AGRA,2011,181,182,38,76,0,76,395,328,67,20,0,185,381,3706,2869,837,486,149,386,39,7,411,87,196,0,341,0,515,2509,10290
UTTAR PRADESH,ALIGARH,2011,168,174,33,66,0,66,320,265,55,9,0,91,178,1260,717,543,316,121,346,1,25,293,73,194,0,256,0,341,1616,5881
UTTAR PRADESH,ALLAHABAD,2011,156,126,34,67,0,67,220,190,30,8,2,88,257,1390,970,420,218,113,256,12,10,439,75,93,1,266,0,396,2029,6256
UTTAR PRADESH,AMBEDKAR NAGAR,2011,42,39,10,16,0,16,80,74,6,2,0,15,52,113,53,60,53,25,57,0,5,195,16,33,0,88,0,73,369,1283
UTTAR PRADESH,AURAIYA,2011,29,20,9,15,0,15,76,73,3,3,0,19,16,129,88,41,11,19,41,3,1,90,25,14,0,26,0,153,484,1183
UTTAR PRADESH,AZAMGARH,2011,55,40,31,28,0,28,120,101,19,5,1,58,76,214,96,118,145,48,95,1,0,307,27,27,0,49,0,414,432,2173
UTTAR PRADESH,BADAUN,2011,97,124,40,18,0,18,137,115,22,4,0,34,50,156,58,98,7,30,87,3,6,312,48,62,0,59,0,197,1128,2599
UTTAR PRADESH,BAGHPAT,2011,66,87,17,12,0,12,88,74,14,2,0,49,65,269,131,138,74,36,84,0,1,157,17,35,0,106,0,133,438,1736
UTTAR PRADESH,BAHRAICH,2011,53,55,19,57,0,57,133,128,5,12,0,28,74,223,92,131,87,46,179,3,23,175,62,49,0,55,0,108,1238,2679
UTTAR PRADESH,BALLIA,2011,33,53,15,7,0,7,66,64,2,1,0,7,66,135,83,52,57,18,54,0,8,168,17,21,0,27,0,99,296,1148
UTTAR PRADESH,BALRAMPUR,2011,16,12,9,10,0,10,50,50,0,10,0,8,28,44,13,31,21,15,75,1,6,103,16,13,0,0,0,97,123,657
UTTAR PRADESH,BANDA,2011,40,27,19,26,0,26,48,48,0,2,0,2,59,121,36,85,31,33,38,0,12,28,29,56,0,31,0,119,560,1281
UTTAR PRADESH,BARABANKI,2011,71,52,21,36,0,36,142,142,0,0,0,13,60,201,87,114,6,50,109,2,7,337,25,51,0,51,0,268,714,2216
UTTAR PRADESH,BAREILLY,2011,116,150,40,34,0,34,205,193,12,3,0,56,129,609,308,301,107,130,271,6,0,170,63,92,0,155,0,355,2319,5010
UTTAR PRADESH,BASTI,2011,21,10,11,7,0,7,29,28,1,0,0,15,9,45,22,23,11,10,22,0,7,71,11,5,0,17,0,106,389,796
UTTAR PRADESH,BHIM NAGAR,2011,72,90,14,34,0,34,114,105,9,19,4,48,65,196,70,126,36,44,0,0,2,31,29,43,0,61,0,102,733,1737
UTTAR PRADESH,BIJNOR,2011,85,37,20,39,0,39,128,118,10,2,0,35,45,249,100,149,33,33,187,3,6,937,30,14,0,238,0,231,203,2555
UTTAR PRADESH,BULANDSHAHAR,2011,162,175,27,47,0,47,218,192,26,10,2,69,108,501,245,256,99,44,216,1,1,17,50,94,0,362,0,427,1268,3898
UTTAR PRADESH,CHANDOLI,2011,19,13,9,8,0,8,20,19,1,0,0,7,24,83,44,39,5,12,45,0,0,148,17,7,0,48,0,71,400,936
UTTAR PRADESH,CHITRAKOOT DHAM,2011,24,6,9,20,0,20,25,22,3,1,0,6,51,73,28,45,9,9,20,1,2,10,14,24,0,11,0,62,211,588
UTTAR PRADESH,CSM NAGAR,2011,30,36,9,20,0,20,99,96,3,0,0,8,40,106,43,63,51,16,39,0,3,180,17,40,0,53,0,128,312,1187
UTTAR PRADESH,DEORIA,2011,34,17,12,8,0,8,58,53,5,3,1,11,45,100,44,56,32,11,69,4,9,86,27,12,0,24,0,163,462,1188
UTTAR PRADESH,ETAH,2011,54,83,18,19,0,19,69,61,8,1,0,23,23,191,119,72,32,25,54,0,6,239,30,25,0,57,0,170,576,1695
UTTAR PRADESH,ETAWAH,2011,59,44,15,13,0,13,81,73,8,1,0,18,30,208,142,66,6,29,101,3,2,121,42,28,0,52,0,191,1090,2134
UTTAR PRADESH,FAIZABAD,2011,49,31,18,27,0,27,119,114,5,1,5,24,83,230,98,132,57,34,89,6,4,222,11,56,0,21,0,220,742,2049
UTTAR PRADESH,FATEHGARH,2011,61,45,14,16,0,16,91,83,8,1,0,12,40,154,92,62,23,26,63,0,3,70,25,35,0,59,0,127,320,1185
UTTAR PRADESH,FATEHPUR,2011,64,32,12,40,0,40,106,92,14,8,0,30,41,139,73,66,30,34,146,0,3,289,45,55,0,45,0,247,890,2256
UTTAR PRADESH,FIROZABAD,2011,96,104,23,32,0,32,174,144,30,8,0,53,64,389,242,147,104,30,137,0,1,230,43,57,0,83,0,272,1069,2969
UTTAR PRADESH,G.R.P.,2011,30,14,9,2,0,2,13,6,7,30,4,216,1,3043,90,2953,62,19,34,3,0,7,1,38,0,0,0,0,1590,5116
UTTAR PRADESH,GAUTAMBUDH NAGAR,2011,88,106,15,25,0,25,141,95,46,16,0,235,170,2967,2128,839,108,90,319,2,0,16,25,42,0,102,0,325,1423,6215
UTTAR PRADESH,GHAZIABAD,2011,162,136,35,22,0,22,257,219,38,7,1,135,212,3108,2450,658,113,156,432,2,0,16,47,59,0,255,0,372,2286,7813
UTTAR PRADESH,GHAZIPUR,2011,46,29,19,11,0,11,21,18,3,8,0,32,29,94,41,53,50,19,47,0,5,90,35,16,0,26,0,57,160,794
UTTAR PRADESH,GONDA,2011,46,51,22,34,0,34,129,116,13,20,0,28,98,201,75,126,67,91,280,1,18,380,27,29,0,6,0,135,818,2481
UTTAR PRADESH,GORAKHPUR,2011,105,100,31,50,0,50,232,215,17,6,0,47,205,1179,857,322,203,114,365,17,11,407,41,71,0,224,0,338,1328,5074
UTTAR PRADESH,HAMIRPUR,2011,34,20,17,12,0,12,38,38,0,1,0,4,15,69,15,54,6,19,25,3,8,62,15,33,0,20,0,74,163,638
UTTAR PRADESH,HARDOI,2011,61,51,35,24,0,24,130,123,7,3,0,8,62,182,58,124,25,37,78,0,3,265,32,55,0,72,0,245,1736,3104
UTTAR PRADESH,HATHRAS,2011,61,49,10,35,0,35,93,77,16,11,0,40,48,210,106,104,60,18,74,0,6,113,24,42,0,84,0,176,441,1595
UTTAR PRADESH,J.P.NAGAR,2011,66,36,18,44,0,44,61,50,11,20,3,32,39,180,104,76,20,21,104,2,6,311,16,21,0,83,0,71,357,1511
UTTAR PRADESH,JALAUN,2011,38,22,19,7,0,7,49,47,2,1,0,11,20,115,71,44,9,23,30,1,4,3,40,18,0,22,0,131,503,1066
UTTAR PRADESH,JAUNPUR,2011,41,47,26,14,0,14,93,90,3,1,0,19,53,138,76,62,41,18,55,3,15,273,42,22,0,41,0,216,482,1640
UTTAR PRADESH,JHANSI,2011,66,29,11,19,0,19,97,92,5,3,1,40,104,387,258,129,70,33,84,4,9,20,28,45,0,52,0,155,677,1934
UTTAR PRADESH,KANNAUJ,2011,37,41,17,14,0,14,107,101,6,2,0,9,31,99,50,49,39,37,82,0,15,19,34,49,0,98,0,122,1206,2058
UTTAR PRADESH,KANPUR NAGAR,2011,159,140,41,71,0,71,343,303,40,11,0,133,319,1738,1353,385,177,208,510,35,3,309,69,140,2,284,0,453,2516,7661
UTTAR PRADESH,KANSHIRAM NAGAR,2011,46,43,18,22,0,22,62,47,15,0,0,13,21,94,54,40,38,13,37,0,11,98,22,33,0,21,0,82,310,984
UTTAR PRADESH,KAUSHAMBI,2011,52,19,11,23,0,23,53,40,13,1,0,26,100,107,34,73,14,25,53,1,5,89,22,36,0,31,0,116,626,1410
UTTAR PRADESH,KHIRI,2011,89,93,32,35,0,35,140,132,8,2,0,25,45,296,168,128,28,11,91,1,10,386,57,76,0,57,0,191,1177,2842
UTTAR PRADESH,KUSHI NAGAR,2011,50,24,26,13,0,13,76,75,1,2,1,3,29,111,77,34,60,35,84,1,10,137,35,11,0,31,0,158,632,1529
UTTAR PRADESH,LALITPUR,2011,19,11,13,15,0,15,37,30,7,0,0,10,20,60,21,39,22,15,31,0,2,82,14,52,0,26,0,51,348,828
UTTAR PRADESH,LUCKNOW,2011,119,97,46,55,0,55,292,283,9,11,0,61,454,2167,1327,840,182,392,790,19,11,43,48,142,0,511,0,493,4605,10538
UTTAR PRADESH,MAHARAJGANJ,2011,22,10,13,18,0,18,43,42,1,0,0,7,20,49,25,24,9,16,29,0,2,56,26,15,0,12,0,102,315,764
UTTAR PRADESH,MAHOBA,2011,13,19,16,16,0,16,33,31,2,2,0,14,31,68,21,47,10,20,37,1,0,1,15,41,0,31,0,53,223,644
UTTAR PRADESH,MAINPURI,2011,82,74,24,33,0,33,111,92,19,2,0,65,55,268,168,100,61,27,79,0,9,190,34,52,0,52,0,224,770,2212
UTTAR PRADESH,MATHURA,2011,113,125,13,39,0,39,145,123,22,3,0,73,91,732,472,260,132,88,262,9,0,186,36,76,0,226,0,467,1730,4546
UTTAR PRADESH,MAU,2011,28,70,15,19,0,19,66,60,6,0,0,23,68,170,110,60,79,25,47,0,0,175,7,31,0,64,0,102,281,1270
UTTAR PRADESH,MEERUT,2011,189,235,25,79,0,79,323,271,52,9,1,235,247,2445,1660,785,238,96,444,8,7,24,36,99,0,400,0,357,2110,7607
UTTAR PRADESH,MIRZAPUR,2011,28,3,10,3,0,3,5,5,0,0,0,2,20,65,33,32,1,37,48,0,2,101,20,3,0,34,0,99,531,1012
UTTAR PRADESH,MORADABAD,2011,103,89,19,55,0,55,183,174,9,20,6,119,111,867,505,362,87,69,151,9,5,84,30,48,0,210,0,216,1137,3618
UTTAR PRADESH,MUZAFFARNAGAR,2011,126,166,13,19,0,19,238,179,59,2,0,64,71,508,233,275,165,91,243,1,2,9,25,37,0,203,0,205,1891,4079
UTTAR PRADESH,PANCHSHIL NAGAR,2011,61,72,10,18,0,18,100,78,22,4,0,55,61,353,226,127,58,26,139,1,3,22,15,25,0,72,0,190,774,2059
UTTAR PRADESH,PILIBHIT,2011,46,32,7,12,0,12,69,62,7,0,0,10,15,105,46,59,9,49,154,0,0,3,39,31,0,69,0,109,1874,2633
UTTAR PRADESH,PRABUDDH NAGAR,2011,57,65,12,11,0,11,66,52,14,2,3,55,22,207,102,105,53,16,63,2,3,9,10,13,0,83,0,67,467,1286
UTTAR PRADESH,PRATAPGARH,2011,58,56,17,24,0,24,90,85,5,2,0,19,59,161,77,84,80,43,63,0,13,345,31,35,0,121,0,118,519,1854
UTTAR PRADESH,RAIBAREILLY,2011,36,28,17,29,0,29,60,55,5,2,0,10,42,130,36,94,36,14,54,0,0,194,16,36,0,51,0,178,620,1553
UTTAR PRADESH,RAMABAI NAGAR,2011,50,27,20,21,0,21,90,83,7,6,0,13,18,122,45,77,32,35,41,5,9,386,29,35,0,65,0,251,695,1950
UTTAR PRADESH,RAMPUR,2011,79,91,8,43,0,43,121,98,23,15,0,72,87,387,164,223,84,66,204,4,0,2,26,27,0,86,0,96,1016,2514
UTTAR PRADESH,SAHARANPUR,2011,78,78,21,21,0,21,90,82,8,4,0,31,50,436,211,225,58,58,182,13,0,12,32,16,0,135,0,196,1568,3079
UTTAR PRADESH,SANT KABIRNAGAR,2011,17,18,12,17,0,17,48,48,0,0,0,9,27,47,17,30,25,16,24,0,5,149,6,12,0,19,0,55,286,792
UTTAR PRADESH,SHAHJAHANPUR,2011,87,108,24,40,0,40,141,130,11,5,1,21,57,251,91,160,41,29,108,1,37,256,47,54,0,28,0,247,1037,2620
UTTAR PRADESH,SHRAWASTI,2011,18,13,9,16,0,16,40,36,4,0,0,5,28,51,12,39,9,3,38,0,8,137,16,26,0,1,0,43,115,576
UTTAR PRADESH,SIDHARTHNAGAR,2011,14,6,10,9,0,9,42,42,0,0,0,5,27,62,24,38,10,7,16,0,0,20,17,21,0,29,0,73,293,661
UTTAR PRADESH,SITAPUR,2011,102,68,26,66,0,66,232,202,30,5,0,40,89,347,113,234,49,51,100,3,24,235,60,131,0,138,0,284,1344,3394
UTTAR PRADESH,SONBHADRA,2011,18,11,18,19,0,19,26,21,5,0,0,4,29,84,45,39,4,37,77,0,5,59,8,21,0,16,0,108,361,905
UTTAR PRADESH,ST.RAVIDASNAGAR,2011,8,9,8,2,0,2,7,6,1,0,0,2,14,49,15,34,7,13,27,0,0,29,11,3,0,10,0,68,81,348
UTTAR PRADESH,SULTANPUR,2011,41,57,19,21,0,21,52,46,6,1,1,17,59,197,77,120,42,29,51,1,20,251,14,23,0,58,0,238,359,1551
UTTAR PRADESH,UNNAO,2011,61,48,33,36,0,36,112,104,8,1,0,6,57,186,74,112,44,55,104,3,5,119,30,66,0,85,0,264,876,2191
UTTAR PRADESH,VARANASI,2011,48,53,18,11,0,11,92,76,16,2,2,33,76,557,385,172,58,121,285,25,6,218,41,17,0,136,0,224,998,3021
UTTAR PRADESH,TOTAL,2011,4951,4653,1454,2042,0,2042,8500,7525,975,379,39,3148,5765,36683,21363,15320,5022,3721,9941,270,477,12234,2322,3455,3,7121,0,14380,68575,195135
