STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES
MADHYA PRADESH,UJJAIN,2001,84,163,1,59,0,59,44,33,11,6,1,79,826,1387,265,1122,133,24,64,3,38,744,7,161,33,109,0,52,3623,7641
MADHYA PRADESH,UMARIYA,2001,19,12,0,25,0,25,3,2,1,2,0,19,130,127,1,126,30,4,16,0,12,130,2,61,5,21,0,0,1231,1849
MADHYA PRADESH,VIDISHA,2001,47,56,0,112,0,112,10,6,4,0,4,20,174,268,41,227,77,5,26,0,35,880,13,245,22,56,0,49,1536,3635
MADHYA PRADESH,TOTAL,2001,2425,2870,125,2851,0,2851,956,668,288,166,130,1764,13549,20263,4535,15728,3395,481,1413,19,1014,30895,609,7063,751,2562,0,3297,85143,181741
MAHARASHTRA,MUMBAI,2001,295,200,6,127,0,127,148,12,136,61,80,406,2863,11564,3095,8469,196,393,1270,170,6,3845,18,274,44,198,0,709,6095,28968
MAHARASHTRA,MUMBAI RLY.,2001,12,9,1,2,0,2,1,0,1,0,3,29,3,1756,0,1756,13,26,34,0,0,30,0,5,0,0,0,2,97,2023
UTTAR PRADESH,AGRA,2001,153,162,18,66,0,66,203,132,71,50,3,171,432,1181,509,672,377,148,229,4,14,518,63,110,114,327,0,234,2085,6662
UTTAR PRADESH,ALIGARH,2001,229,242,21,50,0,50,123,78,45,39,4,182,190,727,219,508,366,120,145,3,32,446,44,90,54,258,0,189,1134,4688
UTTAR PRADESH,ALLAHABAD,2001,167,224,30,42,0,42,96,75,21,13,0,81,368,850,176,674,260,136,25,3,38,1024,56,85,105,226,0,215,2052,6096
UTTAR PRADESH,AMBEDKAR NAGAR,2001,46,49,7,19,0,19,29,29,0,4,0,22,95,116,9,107,64,16,43,2,13,244,14,15,9,87,0,38,447,1379
UTTAR PRADESH,AURAIYA,2001,53,53,11,11,0,11,61,25,36,9,0,24,36,82,10,72,44,8,14,1,13,247,21,13,7,26,0,82,321,1137
UTTAR PRADESH,AZAMGARH,2001,120,103,21,11,0,11,45,41,4,7,0,80,145,187,32,155,127,44,72,2,2,352,32,14,15,81,0,25,762,2247
UTTAR PRADESH,BADAUN,2001,239,272,30,47,0,47,82,41,41,26,0,67,118,306,14,292,64,39,64,1,38,616,62,51,14,76,0,7,845,3064
UTTAR PRADESH,BAGHPAT,2001,89,160,6,15,0,15,31,17,14,17,0,54,45,218,34,184,55,26,43,3,5,3,20,18,12,64,0,21,450,1355
UTTAR PRADESH,BAHRAICH,2001,43,49,23,14,0,14,28,19,9,5,1,20,79,169,22,147,50,32,37,2,14,175,19,15,17,62,0,54,408,1316
UTTAR PRADESH,BALLIA,2001,55,91,13,18,0,18,24,17,7,9,1,14,125,178,17,161,119,12,14,5,2,289,19,7,22,35,0,10,872,1934
UTTAR PRADESH,BALRAMPUR,2001,26,28,9,8,0,8,20,19,1,3,0,4,38,81,10,71,25,19,22,0,15,126,12,23,11,30,0,35,199,734
UTTAR PRADESH,BANDA,2001,75,53,14,27,0,27,29,18,11,7,0,31,87,108,12,96,72,20,55,0,13,247,21,51,18,50,0,70,674,1722
UTTAR PRADESH,BARABANKI,2001,88,85,24,41,0,41,71,55,16,22,0,50,160,349,20,329,81,69,31,0,18,307,35,37,21,188,0,141,760,2578
UTTAR PRADESH,BAREILLY,2001,272,331,28,93,0,93,144,98,46,47,0,138,210,784,144,640,143,81,186,3,15,617,57,110,40,421,0,234,1315,5269
UTTAR PRADESH,BASTI,2001,48,51,13,18,0,18,28,23,5,4,0,28,101,171,31,140,106,37,69,2,5,240,22,28,12,48,0,32,690,1753
UTTAR PRADESH,BIJNOR,2001,124,113,14,38,0,38,85,59,26,13,0,56,132,352,40,312,80,58,119,3,11,43,31,67,38,230,0,78,802,2487
UTTAR PRADESH,BULANDSHAHAR,2001,250,209,16,31,0,31,94,64,30,20,1,103,109,459,79,380,150,68,107,2,23,75,45,71,219,227,0,183,1510,3972
UTTAR PRADESH,CHANDOLI,2001,35,30,9,4,0,4,20,11,9,0,0,18,52,84,13,71,16,22,47,4,10,110,16,13,0,22,0,13,240,765
UTTAR PRADESH,CHITRAKOOT DHAM,2001,28,16,5,8,0,8,5,3,2,2,1,3,23,27,4,23,15,8,22,0,0,83,8,16,4,2,0,25,91,392
UTTAR PRADESH,DEORIA,2001,48,97,17,7,0,7,39,33,6,2,0,26,87,163,23,140,196,39,54,1,8,192,27,15,15,44,0,46,1279,2402
UTTAR PRADESH,ETAH,2001,240,364,12,57,0,57,118,59,59,32,0,79,136,350,51,299,259,100,121,2,5,404,68,68,24,156,0,13,1913,4521
UTTAR PRADESH,ETAWAH,2001,82,92,8,20,0,20,93,22,71,14,2,32,48,166,44,122,90,45,37,1,11,200,29,25,26,52,0,118,751,1942
UTTAR PRADESH,FAIZABAD,2001,77,48,15,22,0,22,28,26,2,6,1,44,99,245,38,207,52,104,2,0,13,179,17,24,18,49,0,149,775,1967
UTTAR PRADESH,FATEHGARH,2001,120,86,14,9,0,9,63,38,25,4,0,18,48,126,16,110,73,29,77,2,9,227,22,23,28,93,0,73,550,1694
UTTAR PRADESH,FATEHPUR,2001,132,56,26,28,0,28,45,27,18,11,0,36,70,132,16,116,22,31,48,0,7,265,46,25,15,59,0,163,729,1946
UTTAR PRADESH,FIROZABAD,2001,135,169,10,22,0,22,120,59,61,22,0,72,105,292,89,203,147,42,69,1,3,359,48,33,69,89,0,178,741,2726
UTTAR PRADESH,G.R.P.,2001,31,20,0,2,0,2,4,2,2,21,2,49,4,3141,82,3059,13,37,41,0,0,28,1,18,71,1,0,0,868,4352
UTTAR PRADESH,GAUTAMBUDH NAGAR,2001,92,60,16,16,0,16,42,30,12,11,1,47,56,729,330,399,81,51,127,0,12,127,17,39,40,54,0,151,674,2443
UTTAR PRADESH,GHAZIABAD,2001,230,381,18,31,0,31,112,79,33,10,2,117,227,1357,656,701,123,83,258,14,10,134,33,54,138,140,0,138,1469,5079
UTTAR PRADESH,GHAZIPUR,2001,46,58,24,6,0,6,28,19,9,2,0,17,92,107,11,96,70,14,32,4,8,211,22,18,29,56,0,24,440,1308
UTTAR PRADESH,GONDA,2001,68,101,25,18,0,18,34,21,13,15,1,32,118,161,23,138,64,39,89,2,9,262,26,19,13,46,0,72,505,1719
UTTAR PRADESH,GORAKHPUR,2001,96,74,29,13,0,13,60,52,8,6,0,38,137,192,51,141,117,65,100,1,12,378,16,25,36,52,0,136,1015,2598
UTTAR PRADESH,HAMIRPUR,2001,66,33,6,14,0,14,24,16,8,4,0,31,60,110,9,101,55,14,18,0,7,65,22,32,7,25,0,49,389,1031
UTTAR PRADESH,HARDOI,2001,182,153,30,70,0,70,75,60,15,24,1,50,89,267,25,242,92,48,51,1,12,482,63,86,21,136,0,141,1004,3078
UTTAR PRADESH,HATHRAS,2001,86,94,15,16,0,16,50,26,24,24,0,64,91,225,16,209,150,50,78,3,9,215,31,63,26,93,0,76,757,2216
UTTAR PRADESH,J.P.NAGAR,2001,112,72,6,23,0,23,47,36,11,12,0,37,36,166,16,150,85,21,50,0,10,141,14,35,22,98,0,82,596,1665
UTTAR PRADESH,JALAUN,2001,83,79,4,6,0,6,36,14,22,9,0,41,92,167,32,135,75,24,34,0,5,29,29,40,21,65,0,37,902,1778
UTTAR PRADESH,JAUNPUR,2001,56,85,29,11,0,11,22,15,7,9,1,33,101,165,26,139,112,43,70,1,7,410,43,21,19,85,0,128,542,1993
UTTAR PRADESH,JHANSI,2001,76,48,19,18,0,18,42,20,22,2,0,35,100,258,82,176,60,29,62,1,12,232,31,32,30,69,0,35,790,1981
UTTAR PRADESH,KANNAUJ,2001,66,68,8,8,0,8,40,19,21,6,0,13,52,106,15,91,39,26,30,1,7,77,22,18,7,63,0,54,543,1254
UTTAR PRADESH,KANPUR DEHAT,2001,85,67,12,21,0,21,50,34,16,14,1,30,48,140,8,132,72,22,40,0,12,312,39,45,7,79,0,103,382,1581
UTTAR PRADESH,KANPUR NAGAR,2001,210,198,28,47,0,47,210,176,34,30,1,128,361,1309,636,673,240,178,301,2,27,1040,64,106,213,356,0,385,1374,6808
UTTAR PRADESH,KAUSHAMBI,2001,77,45,11,26,0,26,31,23,8,3,2,18,116,144,10,134,60,15,30,0,17,281,28,44,9,72,0,102,325,1456
UTTAR PRADESH,KHIRI,2001,172,178,36,83,0,83,112,90,22,19,2,79,161,492,47,445,193,77,64,0,6,401,88,99,24,138,0,97,1233,3754
UTTAR PRADESH,KUSHI NAGAR,2001,69,48,18,7,0,7,34,20,14,2,1,11,58,107,12,95,99,27,46,5,8,322,18,19,35,14,0,103,405,1456
UTTAR PRADESH,LALITPUR,2001,25,18,7,20,0,20,5,5,0,2,0,6,46,60,8,52,30,12,21,0,14,89,10,26,9,31,0,70,272,773
UTTAR PRADESH,LUCKNOW,2001,166,189,28,62,0,62,175,138,37,28,1,123,670,2202,697,1505,347,268,427,3,10,89,47,103,148,337,0,337,3445,9205
UTTAR PRADESH,MAHARAJGANJ,2001,39,22,11,13,0,13,19,13,6,1,0,7,45,54,7,47,50,23,35,11,5,94,7,13,37,10,0,70,295,861
UTTAR PRADESH,MAHOBA,2001,56,36,5,12,0,12,13,7,6,3,0,19,40,60,8,52,24,3,19,0,9,58,11,22,3,4,0,26,305,728
